"id","listing_url","host_id","host_url","host_name","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","neighborhood","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","zip_code"
"1103677825560270891",https://www.airbnb.com/rooms/1103677825560270891,"488781076",https://www.airbnb.com/users/show/488781076,Yu,within an hour,1.00000000000000000000,0.99000000000000000000,f,"11",Ocean View,"37.71963",-122.46079,Entire home/apt,4,1.0,2,2,106.00,t,16,46,76,165,0,,,,,,,,4,"","94112"
"1051770489825635506",https://www.airbnb.com/rooms/1051770489825635506,"542041520",https://www.airbnb.com/users/show/542041520,Allen,within an hour,1.00000000000000000000,0.98000000000000000000,f,"349",Downtown/Civic Center,"37.7884146",-122.4215935,Private room,2,1.0,1,1,150.00,t,30,60,90,365,0,,,,,,,,342,"","94102"
"1019810248969120624",https://www.airbnb.com/rooms/1019810248969120624,"542041520",https://www.airbnb.com/users/show/542041520,Allen,within an hour,1.00000000000000000000,0.98000000000000000000,f,"349",Downtown/Civic Center,"37.7884146",-122.4215935,Private room,2,1.0,1,1,150.00,t,30,60,90,270,0,,,,,,,,342,"","94102"
"22653093",https://www.airbnb.com/rooms/22653093,"4430421",https://www.airbnb.com/users/show/4430421,Landmark,within a few hours,0.94000000000000000000,0.92000000000000000000,f,"149",Downtown/Civic Center,"37.78497",-122.41447,Entire home/apt,2,1.0,0,1,73.00,t,0,0,29,119,6,4.67,4.83,5.0,4.83,4.83,4.33,4.5,149,"0.08","94102"
"899184828832740800",https://www.airbnb.com/rooms/899184828832740800,"505872819",https://www.airbnb.com/users/show/505872819,Leisure,within a day,0.56000000000000000000,0.18000000000000000000,f,"34",Downtown/Civic Center,"37.78725879585399",-122.41145588765438,Entire home/apt,4,1.0,1,1,209.00,t,22,52,82,309,0,,,,,,,,4,"","94102"
"784014714400006261",https://www.airbnb.com/rooms/784014714400006261,"482174715",https://www.airbnb.com/users/show/482174715,Suite Life,within an hour,0.97000000000000000000,0.56000000000000000000,t,"1606",Downtown/Civic Center,"37.7889904",-122.4127915,Entire home/apt,6,1.0,2,3,262.00,t,2,29,47,285,0,,,,,,,,25,"","94102"
"904420355457738255",https://www.airbnb.com/rooms/904420355457738255,"501999514",https://www.airbnb.com/users/show/501999514,RoomPicks,within an hour,1.00000000000000000000,0.99000000000000000000,f,"2965",Downtown/Civic Center,"37.78752",-122.41216,Private room,3,1.0,1,1,999.00,t,24,54,81,347,0,,,,,,,,15,"","94102"
"50338646",https://www.airbnb.com/rooms/50338646,"115849",https://www.airbnb.com/users/show/115849,Hiromi,within a day,1.00000000000000000000,0.90000000000000000000,t,"12",Downtown/Civic Center,"37.7887",-122.41302,Private room,1,1.0,1,,63.00,t,21,51,81,171,5,5.0,5.0,5.0,5.0,5.0,4.8,4.8,12,"0.17","94102"
"1040248789035116162",https://www.airbnb.com/rooms/1040248789035116162,"543732460",https://www.airbnb.com/users/show/543732460,Hotel G,within an hour,1.00000000000000000000,0.96000000000000000000,f,"1",Downtown/Civic Center,"37.7873598",-122.4096741,Private room,2,1.0,1,,101.00,t,29,59,86,108,8,4.5,4.88,4.88,4.88,4.63,4.88,4.63,1,"2.93","94102"
"2468125",https://www.airbnb.com/rooms/2468125,"11638127",https://www.airbnb.com/users/show/11638127,Dave,N/A,,1.00000000000000000000,f,"9",Downtown/Civic Center,"37.78929",-122.40931,Private room,2,1.0,1,1,219.00,t,0,0,0,2,15,4.93,4.87,4.93,5.0,4.87,4.8,4.8,5,"0.13","94102"
"956635279113908767",https://www.airbnb.com/rooms/956635279113908767,"225081901",https://www.airbnb.com/users/show/225081901,Angela,N/A,,1.00000000000000000000,f,"1",Downtown/Civic Center,"37.7825757743597",-122.42284834384918,Private room,4,1.5,1,2,109.00,t,29,59,89,269,0,,,,,,,,1,"","94102"
